CountryName,CountryCode,StateName,StateCode
UNITED STATES,US,Alabama,AL
UNITED STATES,US,Alaska,AK
UNITED STATES,US,Arizona,AZ
UNITED STATES,US,Arkansas,AR
UNITED STATES,US,California,CA
UNITED STATES,US,Colorado,CO
UNITED STATES,US,Connecticut,CT
UNITED STATES,US,Delaware,DE
UNITED STATES,US,District of Columbia,DC
UNITED STATES,US,Florida,FL
UNITED STATES,US,Georgia,GA
UNITED STATES,US,Guam,GU
UNITED STATES,US,Hawaii,HI
UNITED STATES,US,Idaho,ID
UNITED STATES,US,Illinois,IL
UNITED STATES,US,Indiana,IN
UNITED STATES,US,Iowa,IA
UNITED STATES,US,Kansas,KS
UNITED STATES,US,Kentucky,KY
UNITED STATES,US,Louisiana,LA
UNITED STATES,US,Maine,ME
UNITED STATES,US,Maryland,MD
UNITED STATES,US,Massachusetts,MA
UNITED STATES,US,Michigan,MI
UNITED STATES,US,Minnesota,MN
UNITED STATES,US,Mississippi,MS
UNITED STATES,US,Missouri,MO
UNITED STATES,US,Montana,MT
UNITED STATES,US,Nebraska,NE
UNITED STATES,US,Nevada,NV
UNITED STATES,US,New Hampshire,NH
UNITED STATES,US,New Jersey,NJ
UNITED STATES,US,New Mexico,NM
UNITED STATES,US,New York,NY
UNITED STATES,US,North Carolina,NC
UNITED STATES,US,North Dakota,ND
UNITED STATES,US,Northern Marina Islands,MP
UNITED STATES,US,Ohio,OH
UNITED STATES,US,Oklahoma,OK
UNITED STATES,US,Oregon,OR
UNITED STATES,US,Pennsylvania,PA
UNITED STATES,US,Rhode Island,RI
UNITED STATES,US,South Carolina,SC
UNITED STATES,US,South Dakota,SD
UNITED STATES,US,Tennessee,TN
UNITED STATES,US,Texas,TX
UNITED STATES,US,U.S. Armed Forces - Americas,AA
UNITED STATES,US,U.S. Armed Forces - Europe,AE
UNITED STATES,US,U.S. Armed Forces - Pacific,AP
UNITED STATES,US,Utah,UT
UNITED STATES,US,Vermont,VT
UNITED STATES,US,"Virgin Islands, U.S.",VI
UNITED STATES,US,Virginia,VA
UNITED STATES,US,Washington,WA
UNITED STATES,US,West Virginia,WV
UNITED STATES,US,Wisconsin,WI
UNITED STATES,US,Wyoming,WY